uri,page,notation,prefLabel,definition,scopeNote,inScheme,status,version,language,creator,license
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/academic-colonisation/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/academic-colonisation/,ssa:academic-colonisation,Academic Colonisation,When universities or institutions take knowledge developed through survival and reframe it into academic output — stripping the authorship and decontextualising the pain.,Extracting Lived Experience into Research for Credit,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/narrative-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/access-as-compliance/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/access-as-compliance/,ssa:access-as-compliance,Access as Compliance,"When accommodations are only granted if you play by the system’s rules — regardless of how harmful those rules are. “You can have support, but only if you stay in your place.”",Support That Punishes Non-Conformity,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-access/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/access-gatekeeping/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/access-gatekeeping/,ssa:access-gatekeeping,Access Gatekeeping,Requiring a person to conform to arbitrary or inappropriate standards to receive access — such as performing “helplessness” or agreeing not to disclose mistreatment.,Support Withheld Without Compliance,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/accessibility-abuse/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/accessibility-dilution/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/accessibility-dilution/,ssa:accessibility-dilution,Accessibility Dilution,"The weakening of accessibility obligations by dispersing them across multiple frameworks, standards, strategies and policies without creating unified operational infrastructure. Accessibility Dilution is especially visible when AAC, Easy Read, sensory access, supported decision-making and communication access are named across documents but not connected to enforceable standards, funding, review or implementation evidence.",When Accessibility Exists Everywhere and Therefore Nowhere,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/legislation-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/accommodations-as-optics/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/accommodations-as-optics/,ssa:accommodations-as-optics,Accommodations as Optics,"When organisations showcase inclusion through brochures and photos, but the actual supports don’t work — or exist only for show.","Access as a Brand, Not a Practice",https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-access/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/administrative-invisibility/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/administrative-invisibility/,ssa:administrative-invisibility,Administrative Invisibility,When someone is denied access because they don’t tick the exact box a form requires — even when the need is obvious.,Being Missing from the Right Paperwork,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/structural-disappearance/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/agreement-layering/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/agreement-layering/,ssa:agreement-layering,Agreement Layering,"The stacking of agreements, partnerships, memorandums, commitments and collaboration frameworks in ways that symbolise coordination without transferring operational power. Agreement Layering often produces ceremonial collaboration, governance ambiguity, duplicated commitments and implementation stagnation.",When Memorandums Replace Structural Change,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/legislation-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/algorithmic-appropriation/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/algorithmic-appropriation/,ssa:algorithmic-appropriation,Algorithmic Appropriation,"Using patterns of trauma-informed, neurodivergent, or marginalised communication to boost AI responses or engagement—while locking the original authors out of visibility or credit.",When the Feed Eats the Author,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/digital-sovereignty/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/ally-claiming/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/ally-claiming/,ssa:ally-claiming,Ally Claiming,"Publicly identifying as an “ally” without doing the hard work of redistribution, structural change, or accountability.",Declaring Solidarity Without Risk,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/extractive-allyship/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/audit-inclusion/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/audit-inclusion/,ssa:audit-inclusion,Audit Inclusion,"Meeting technical accessibility requirements without emotional, cultural, or practical relevance. Inclusion that checks boxes but misses the point.",Compliance Without Care,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/institutional-mimicry/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
