record_type,id,name,domain,definition,requires_context,independently_conclusive,related_concepts
indicator,CCI-THREAT-VIOLENCE,Threat of violence,threats_and_intimidation,"A threat to physically harm a person where the threat may be used to frighten, intimidate, compel or control.",false,false,
indicator,CCI-THREAT-FAMILY,Threats against family or significant people,threats_and_intimidation,Threatening harm or adverse consequences to people important to the subject as a means of influencing behaviour.,false,false,
indicator,CCI-THREAT-CHILDREN,Threats involving children,threats_and_intimidation,"Using threatened harm, removal, withholding, manipulation or adverse consequences involving a child as a means of control.",false,false,
indicator,CCI-THREAT-SELF-HARM-AS-CONTROL,Threat of self-harm used as control,threats_and_intimidation,"Threatening self-harm in circumstances where the threat is being used to frighten, compel or prevent another person from exercising autonomy.",true,false,
indicator,CCI-THREAT-REPUTATION,Threat to reputation,threats_and_intimidation,"Threatening humiliation, disclosure or reputational damage in order to compel behaviour.",false,false,
indicator,CCI-THREAT-AUTHORITY,Threat involving authorities,threats_and_intimidation,Using actual or threatened involvement of institutions or authorities as a mechanism of control.,true,false,
indicator,CCI-THREAT-HOUSING,Threat to housing,threats_and_intimidation,"Threatening homelessness, eviction or loss of accommodation as a means of control.",false,false,
indicator,CCI-THREAT-EMPLOYMENT,Threat to employment,threats_and_intimidation,"Threatening employment, income or professional consequences to compel behaviour.",false,false,
indicator,CCI-THREAT-IMMIGRATION,Immigration-related threat,threats_and_intimidation,"Using immigration status, visa dependency or threatened reporting to migration authorities as a means of control.",false,false,
indicator,CCI-SURVEILLANCE-LOCATION,Location monitoring,surveillance_and_monitoring,"Repeated or intrusive monitoring of a person's location where it contributes to control, fear or loss of autonomy.",true,false,
indicator,CCI-SURVEILLANCE-DEVICE,Device monitoring,surveillance_and_monitoring,Monitoring or accessing another person's digital devices in circumstances associated with control.,true,false,
indicator,CCI-SURVEILLANCE-COMMUNICATION,Communication monitoring,surveillance_and_monitoring,"Monitoring, intercepting or requiring disclosure of private communications as part of controlling conduct.",true,false,
indicator,CCI-SURVEILLANCE-ACCOUNT,Account monitoring,surveillance_and_monitoring,"Monitoring financial, social, email or other accounts in a way that contributes to control or surveillance.",true,false,
indicator,CCI-SURVEILLANCE-IN-PERSON,In-person surveillance,surveillance_and_monitoring,"Following, watching, waiting for or repeatedly checking on a person in circumstances that contribute to intimidation, fear or control.",false,false,
indicator,CCI-SURVEILLANCE-REPORTING-REQUIREMENT,Reporting requirement,surveillance_and_monitoring,"Requiring a person to continually account for their location, activities or social contact where non-compliance carries consequences.",false,false,
indicator,CCI-ISOLATION-FAMILY,Isolation from family,isolation,"Preventing, discouraging or materially interfering with relationships or communication with family.",false,false,
indicator,CCI-ISOLATION-FRIENDS,Isolation from friends,isolation,Restricting or undermining a person's ability to maintain friendships.,false,false,
indicator,CCI-ISOLATION-WORK,Work isolation,isolation,Preventing or interfering with employment or workplace relationships as a mechanism of control.,false,false,
indicator,CCI-ISOLATION-COMMUNITY,Community isolation,isolation,"Restricting participation in community, cultural, religious, sporting or social activities.",false,false,
indicator,CCI-ISOLATION-COMMUNICATION,Communication isolation,isolation,"Restricting independent access to phones, internet, messaging, email or other communications.",false,false,
indicator,CCI-ISOLATION-SUPPORT-SERVICES,Isolation from support services,isolation,"Preventing or materially interfering with access to health, legal, disability, social or safeguarding services.",false,false,
indicator,CCI-ECONOMIC-INCOME-CONTROL,Income control,economic_control,"Taking, redirecting, withholding or controlling another person's income in circumstances that reduce financial autonomy.",false,false,HTI-WAGE-WITHHOLDING
indicator,CCI-ECONOMIC-BANK-ACCOUNT-CONTROL,Bank-account control,economic_control,Exercising unreasonable or coerced control over another person's bank account or access to funds.,true,false,
indicator,CCI-ECONOMIC-SPENDING-RESTRICTION,Spending restriction,economic_control,Imposing controlling restrictions on ordinary expenditure where those restrictions are not freely agreed.,true,false,
indicator,CCI-ECONOMIC-ASSET-CONTROL,Asset control,economic_control,"Taking or exercising unreasonable control over assets, property or financial interests belonging wholly or partly to another person.",false,false,
indicator,CCI-ECONOMIC-COERCED-DEBT,Coerced debt,economic_control,"Forcing, pressuring or deceptively causing another person to acquire debt or financial liabilities.",false,false,
indicator,CCI-ECONOMIC-WITHHELD-RESOURCES,Withheld resources,economic_control,"Unreasonably withholding money or essential resources needed for ordinary living, care or safety.",false,false,
indicator,CCI-ECONOMIC-EMPLOYMENT-INTERFERENCE,Employment interference,economic_control,"Preventing, sabotaging or materially interfering with another person's employment or earning capacity.",false,false,
indicator,CCI-ECONOMIC-CREDIT-INTERFERENCE,Credit interference,economic_control,"Damaging, exploiting or manipulating another person's credit or financial identity in circumstances associated with control.",false,false,
indicator,CCI-MOVEMENT-RESTRICTION,Restriction of movement,movement_and_autonomy,"Behaviour restricting where another person may go, when they may leave or their practical freedom of movement.",false,false,HTI-RESTRICTION-OF-MOVEMENT
indicator,CCI-MOVEMENT-CONFINEMENT,Confinement,movement_and_autonomy,Preventing or materially obstructing a person's ability to leave a physical place.,false,false,
indicator,CCI-MOVEMENT-TRANSPORT-CONTROL,Transport control,movement_and_autonomy,Controlling access to transport in a way that materially limits independence or access to assistance.,false,false,
indicator,CCI-MOVEMENT-PERMISSION-REQUIREMENT,Permission requirement,movement_and_autonomy,"Requiring permission before leaving, travelling or undertaking ordinary activities where non-compliance carries consequences.",false,false,
indicator,CCI-MOVEMENT-DAILY-ACTIVITY-CONTROL,Daily activity control,movement_and_autonomy,"Controlling ordinary activities such as eating, sleeping, dressing, working, studying or socialising as part of a broader pattern.",false,false,
indicator,CCI-DOCUMENT-PASSPORT,Passport control,documents_and_credentials,Withholding or controlling another person's passport in circumstances that limit practical autonomy.,false,false,HTI-DOCUMENT-RETENTION
indicator,CCI-DOCUMENT-IDENTITY,Identity-document control,documents_and_credentials,Withholding or controlling identity documents where this contributes to dependency or reduced autonomy.,false,false,
indicator,CCI-DOCUMENT-FINANCIAL,Financial-document control,documents_and_credentials,Restricting access to financial records required for independent financial decision-making.,false,false,
indicator,CCI-DOCUMENT-LEGAL,Legal-document control,documents_and_credentials,"Withholding, destroying, concealing or controlling access to legal documents in circumstances associated with domination or dependency.",false,false,
indicator,CCI-CREDENTIAL-ACCOUNT-ACCESS,Account-credential control,documents_and_credentials,"Taking or retaining credentials for digital, financial or other accounts in a way that reduces independent control.",false,false,
indicator,CCI-DEPENDENCY-HOUSING,Housing dependency,dependency,Creating or exploiting reliance on another person for accommodation as part of a controlling pattern.,false,false,
indicator,CCI-DEPENDENCY-FINANCIAL,Financial dependency,dependency,Creating or deliberately maintaining financial reliance as a mechanism of control.,false,false,
indicator,CCI-DEPENDENCY-IMMIGRATION,Immigration dependency,dependency,"Exploiting immigration, sponsorship or visa dependency as a mechanism of control.",false,false,
indicator,CCI-DEPENDENCY-CARE,Care dependency,dependency,"Exploiting reliance on another person for personal care, medication, mobility, communication or daily assistance.",false,false,
indicator,CCI-DEPENDENCY-TRANSPORT,Transport dependency,dependency,Creating or exploiting reliance on another person for transportation where that dependency is used to control autonomy.,false,false,
indicator,CCI-DEPENDENCY-COMMUNICATION,Communication dependency,dependency,"Creating or exploiting reliance on another person for access to communications, interpretation, technology or external contact.",false,false,
